Table 1. 2024 Summary statistics,Unnamed: 1,Unnamed: 2
Virginia,,
,Value,Rank
Primary energy source,Natural Gas,
Net summer capacity (megawatts),29147,15
..Electric utilities,21256,11
..IPP and CHP,7890,21
Net generation (megawatthours),102698615,13
..Electric utilities,76210758,10
..IPP and CHP,26487857,17
Emissions (thousand metric tons),,
..Sulfur dioxide (short tons),11041,25
..Nitrogen oxide (short tons),17699,28
..Carbon dioxide (thousand metric tons),29439,20
..Sulfur dioxide (lbs/MWh),0.2,33
..Nitrogen oxide (lbs/MWh),0.3,43
..Carbon dioxide (lbs/MWh),631,37
Total sales to ultimate customers (megawatthours),138044772,8
..Full service provider and facility direct sales (megawatthours),132055374,6
..Energy-only provider sales (megawatthours),5989398,14
Direct use (megawatthours),2468908,11
Average price to ultimate customers (cents/kWh),10.62,38
"Data Source: U.S. Energy Information Administration, Form EIA-860, Annual Electric Generator Report. U.S. Energy Information Administration, Form   EIA-861, Annual Electric Power Industry Report. U.S. Energy Information Administration, Form EIA-923, Power Plant Operations Report and predecessor forms.",,
