"Table 12. Advanced metering, 2007 through 2024",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
Virginia,,,,,,,,,,,,,,,,,,
Technology by sector,"Year
2024","Year
2023","Year
2022","Year
2021","Year
2020","Year
2019","Year
2018","Year
2017","Year
2016","Year
2015","Year
2014","Year
2013","Year
2012","Year
2011","Year
2010","Year
2009","Year
2008","Year
2007"
AMR meters,271236,511512,990242,1705849,2222840,2457778,2659117,2818704,2872010,2871089,2902638,2978913,3094379,3079891,3159249,3047610,3053272,2934487
Residential,230901,440292,908954,1571537,2057030,2269776,2452742,2596922,2639560,2635564,2670605,2742598,2851174,2841255,2930873,2825185,2842167,2730183
Commercial,40136,70921,80905,133421,164596,186322,204426,220056,230359,233396,229930,234244,240960,236618,226654,220991,209453,204144
Industrial,192,291,383,891,1214,1680,1949,1726,2091,2128,2103,2071,2245,2018,1722,1434,1652,160
Transportation,7,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
AMI meters,3833385,3562066,2998592,2205681,1616783,1295701,1019599,848075,750962,720728,647006,532415,400698,306378,158244,105371,8402,0
Residential,3426446,3185576,2674019,1963964,1440333,1161913,917496,764297,673357,646469,580265,472323,353586,274038,138202,87411,1751,0
Commercial,403305,372551,321031,239030,174446,132408,101043,82918,76805,73529,66057,59359,46373,31707,20030,17943,6642,0
Industrial,3610,3917,3512,2657,1974,1350,1029,830,770,702,684,733,739,633,12,17,9,0
Transportation,24,22,30,30,30,30,31,30,30,28,0,0,0,0,0,0,0,0
Standard meters,38579,49774,88852,118816,140322,169323,173042,174117,194129,181788,160655,170421, , , , , , 
Residential,29725,37787,41166,40717,41126,50933,50256,50232,66832,67145,45285,52684, , , , , , 
Commercial,8255,11289,46796,76978,98152,117186,121564,122610,125959,113228,113977,116366, , , , , , 
Industrial,596,694,883,1114,1037,1197,1215,1267,1330,1407,1393,1371, , , , , , 
Transportation,3,4,7,7,7,7,7,8,8,8,0,0, , , , , , 
All meters,4143200,4123352,4077686,4030346,3979945,3922802,3851758,3840896,3817101,3773605,3710299,3681749, , , , , , 
Residential,3687072,3663655,3624139,3576218,3538489,3482622,3420494,3411451,3379749,3349178,3296155,3267605, , , , , , 
Commercial,451696,454761,448732,449429,437194,435916,427033,425584,433123,420153,409964,409969, , , , , , 
Industrial,4398,4902,4778,4662,4225,4227,4193,3823,4191,4237,4180,4175, , , , , , 
Transportation,34,34,37,37,37,37,38,38,38,37,0,0, , , , , , 
"AMR- Automatic Meter Reading.
AMI- Advanced Meter Infrastructure.
Prior to 2010, the count was the number of customers, not number of meters.
Starting in 2013 Standard (Non-AMR/AMI) meter data was collected on the EIA-861. This data is not collected on the EIA-861S.
Data Source: U.S. Energy Information Administration, Form EIA-861 & EIA-861S, Annual Electric Power Industry Report.",,,,,,,,,,,,,,,,,,
