"Table 14. Capacity and usage factors by month, 2024",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
Virginia,,,,,,,,,,,,,,,
Technology,Year end capacity (MW),Time adjusted capacity (MW),Annual,January,February,March,April,May,June,July,August,September,October,November,December
Capacity Factors,,,,,,,,,,,,,,,
Nuclear,3568,3568,92.4,103.4,103,77.3,75.6,76.2,96.3,99.9,100.5,101.5,97.6,79.2,97.9
Natural Gas - CC,8910.1,8910.1,71.5,82.3,87.9,75.9,47.1,46.3,79.9,88.6,89.2,78.9,49.9,61.2,71.3
Wood,489.7,489.7,67,74.4,75.6,63.6,62.8,62.6,79.6,71,70.4,57.8,45.6,63.7,77.5
"Other, Biomass",223.6,236.4,59.8,62.3,62.5,56,62.9,65.1,63.3,56,63.7,59.4,59,45.5,60.4
Wind - Offshore,12,12,47.7,59.1,54.6,65.6,54.4,43,35.1,40,27.8,44.6,38.1,49.3,60.7
Solar - PV,4161.5,3886.5,20.2,10.5,16.4,19.4,23,24.2,31.9,26,25.9,18.6,21.7,13.7,11.7
Hydroelectric,866.6,866.6,16.5,26.7,20.7,20.7,18.4,17.6,11.5,12.9,16.8,14.3,18.6,8.4,10.7
Coal,1530.1,1530.1,16.1,33.6,11.7,7.4,10.7,5.3,22.4,24.5,13.7,6.3,20.2,2.4,33.8
Natural Gas - GT,4212,4212,11.2,3.2,3.9,5.4,13.6,15,10.7,26,15,16,12.9,5.7,6.4
Natural Gas - ST,587.8,587.8,10.6,11.8,7.6,7.9,11.1,10.7,15.5,15.7,14,7.4,7,9.7,8.5
Natural Gas - IC,3,1.5,2,9,0,1.1,0,2.2,5.4,5.4,6.6,0.1,0.2,0.6,1.3
Petroleum - IC,134.2,135,0.8,2.2,0.1,0.1,0.4,0.2,0.6,2.3,1.5,0.6,0.5,0.1,0.3
Petroleum - GT,607.4,607.4,0.8,0.6,0,0,0.4,0.6,0.7,3.1,1.8,0.7,0.8,0,0.4
Usage Factors,,,,,,,,,,,,,,,
Pumped Storage,3253.1,3253.1,15.6,14.5,15,7.9,9.5,16,24.8,27.6,25.7,16.4,7,10,12.8
Battery,70.5,70.5,6.8,7.8,9.1,8,5.9,6,6.2,5.3,6.3,7.2,8.2,6.2,5.8
All Sources,28629.6,28366.7, , , , , , , , , , , , , 
"Time adjusted capacity for the month is the summer capacity of generators in operation for the entire month; units that began operation during the month or that retired during the month are excluded. Time adjusted capacity is the capacity of all the generators that were included in the time period covered by the capacity factor calculation.
Data Source: U.S. Energy Information Administration, Form EIA-860, Annual Electric Generator Report. and U.S. Energy Information Administration, Form EIA-923, Power Plant Operations Report",,,,,,,,,,,,,,,
