nan,year_2024,year_2023,year_2022,year_2021,year_2020,year_2019,year_2018,year_2017,year_2016,year_2015,year_2014,year_2013,year_2012,year_2011,year_2010,year_2009,year_2008,year_2007,year_2006,year_2005,year_2004,year_2003,year_2002,year_2001,year_2000,year_1999,year_1998,year_1997,year_1996,year_1995,year_1994,year_1993,year_1992,year_1991,year_1990
Coal (dollars per million Btu),4.63,5.63,3.56,2.57,2.68,3.1,2.9,2.86,2.9,2.95,3.37,3.35,3.67,3.52,3.28,3.08,2.77,2.49,2.45,2.33,1.95,1.67,1.69,1.59,1.33,1.34,1.38,1.39,1.42,1.45,1.45,1.47,1.47,1.52,1.55
Average heat value (Btu per pound),10089.0,10617.0,10663.0,10961.0,10974.0,11233.0,10848.0,11099.0,11405.0,11572.0,11617.0,11442.0,11964.0,12406.0,12476.0,12501.0,12492.0,12531.0,12592.0,12650.0,12713.0,12826.0,12845.0,12730.0,12814.0,12702.0,12603.0,12554.0,12597.0,12743.0,12778.0,12817.0,12830.0,12768.0,12714.0
Average sulfur content (percent),1.0,1.05,1.52,1.42,1.4,1.02,1.22,1.12,1.06,1.16,1.12,1.05,1.14,1.03,1.03,1.0,0.92,0.94,1.04,1.0,0.94,0.97,1.16,1.02,0.98,1.3,0.97,1.01,0.99,1.03,0.99,1.0,1.03,1.0,0.96
Petroleum (dollars per million Btu),18.95,19.83,21.17,12.65,12.0,11.89,11.91,11.01,8.66,11.39,21.18,19.15,20.33,17.91,13.15,9.78,13.8,9.22,8.75,7.61,4.97,4.99,3.8,3.57,4.24,2.3,2.04,2.82,2.9,2.51,2.16,2.13,2.47,2.23,3.84
Average heat value (Btu per gallon),140274.0,140046.0,139877.0,139357.0,141635.0,143625.0,142224.0,141245.0,146723.0,145360.0,140684.0,143704.0,143007.0,146693.0,145627.0,145530.0,147391.0,148238.0,150090.0,149019.0,150757.0,149367.0,149779.0,148810.0,151002.0,150660.0,150157.0,148219.0,146988.0,146179.0,149743.0,150319.0,148881.0,146626.0,146360.0
Average sulfur content (percent),0.22,0.21,0.23,0.21,0.21,0.21,0.2,0.21,0.2,0.24,0.31,0.29,0.31,0.31,0.36,0.63,0.58,0.33,0.48,0.65,0.78,0.64,0.99,1.04,1.09,1.07,1.1,1.06,1.09,0.89,1.06,0.95,0.95,1.35,0.89
Natural gas (dollars per million Btu),2.85,3.31,7.12,3.94,2.38,3.15,4.12,3.3,2.86,3.35,5.88,4.13,3.28,4.91,5.53,4.52,10.43,8.16,7.51,9.34,6.65,6.18,4.13,4.4,4.51,3.0,2.95,2.74,2.82,2.59,2.57,2.79,2.37,1.82,2.58
Average heat value (Btu per cubic foot),1043.0,1043.0,1045.0,1046.0,1045.0,1049.0,1048.0,1053.0,1057.0,1056.0,1039.0,1039.0,1034.0,1029.0,1030.0,1036.0,1036.0,1035.0,1035.0,1034.0,1032.0,1035.0,1035.0,1020.0,1034.0,1056.0,1050.0,1069.0,1057.0,1031.0,1037.0,1038.0,1046.0,1044.0,1041.0
"Petroleum includes petroleum liquids and petroleum coke.
Note: Due to different reporting requirements between the Form EIA-923 and historical FERC Form 423, the receipts data from 2008 and on are not directly comparable to prior years.  There may be a notable increase in fuel receipts beginning with 2008.  For more information, please see the Technical Notes in the Electric Power Annual.
Data Source: U.S. Energy Information Administration, Forms EIA-423, Monthly Cost and Quality of Fuels for Electric Plants Report. and EIA-923,   Power Plant Operations Report. Federal Energy Regulatory Commission, FERC Form 423, Monthly Cost and Quality of Fuels for Electric Plants.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
