date,pue
2015-01-01,1.5
2015-02-01,1.5
2015-03-01,1.5
2015-04-01,1.5
2015-05-01,1.5
2015-06-01,1.5
2015-07-01,1.5
2015-08-01,1.5
2015-09-01,1.5
2015-10-01,1.5
2015-11-01,1.0377689924436182
2015-12-01,1.039461600868647
2016-01-01,1.0349357198561395
2016-02-01,1.0313577264249698
2016-03-01,1.0390529517445342
2016-04-01,1.0290188882901143
2016-05-01,1.0279300096902215
2016-06-01,1.031893538166227
2016-07-01,1.0363468752674427
2016-08-01,1.045231163198346
2016-09-01,1.0370513045865122
2016-10-01,1.0329470319137477
2016-11-01,1.0365215902994598
2016-12-01,1.0336748371623694
2017-01-01,1.033050611732704
2017-02-01,1.0302164375487088
2017-03-01,1.0318077336151898
2017-04-01,1.035712757022988
2017-05-01,1.0334159587973277
2017-06-01,1.0347079481363697
2017-07-01,1.0349104245468674
2017-08-01,1.0331630447058742
2017-09-01,1.0308334393053415
2017-10-01,1.0320644603291276
2017-11-01,1.0333107321909956
2017-12-01,1.0331742982093177
2018-01-01,1.034449486723503
2018-02-01,1.0371784385603866
2018-03-01,1.0358555345327947
2018-04-01,1.0319425289693183
2018-05-01,1.032982720949328
2018-06-01,1.0386209383099028
2018-07-01,1.0413868780262396
2018-08-01,1.0292032399367668
2018-09-01,1.0312286240746111
2018-10-01,1.0249268218675918
2018-11-01,1.0288968260824494
2018-12-01,1.029188673458808
2019-01-01,1.0355120578136272
2019-02-01,1.0338204670784485
2019-03-01,1.0286040300463528
2019-04-01,1.0247296310866674
2019-05-01,1.0246658918915263
2019-06-01,1.0237605594849426
2019-07-01,1.0384599674892507
2019-08-01,1.0378021269250137
2019-09-01,1.0310459327031922
2019-10-01,1.0278993924928543
2019-11-01,1.027153574320754
2019-12-01,1.0300510178871436
2020-01-01,1.0273358282331602
2020-02-01,1.0475969218360184
2020-03-01,1.0299639399375662
2020-04-01,1.02776555252099
2020-05-01,1.0281241580700362
2020-06-01,1.0316902741189555
2020-07-01,1.0414774407153
2020-08-01,1.0233239231149218
2020-09-01,1.014330268088128
2020-10-01,1.0328283180771576
2020-11-01,1.0286604829264245
2020-12-01,1.0316433459910848
2021-01-01,1.0579737802663154
2021-02-01,1.0255432042619541
2021-03-01,1.0249336103944122
2021-04-01,1.0261941066294438
2021-05-01,1.0325485466170634
2021-06-01,1.0307387653563096
2021-07-01,1.022441609795672
2021-08-01,1.0467956186734058
2021-09-01,1.0224667601665471
2021-10-01,1.0151731684186893
2021-11-01,1.010848596736009
2021-12-01,1.0183789445066271
2022-01-01,1.035677548432606
2022-02-01,1.0304379905008345
2022-03-01,1.0400349928382138
2022-04-01,1.030598004460519
2022-05-01,1.0335911563615106
2022-06-01,1.0423012120271697
2022-07-01,1.0491209070641325
2022-08-01,1.0553224301848887
2022-09-01,1.047849208684014
2022-10-01,1.048643251287442
2022-11-01,1.0402666481481482
2022-12-01,1.041084411394814
2023-01-01,1.0466689964157705
2023-02-01,1.0486857082267904
2023-03-01,1.0506052732055962
2023-04-01,1.046127064566948
2023-05-01,1.045640692264692
2023-06-01,1.0465814216240008
2023-07-01,1.0530825948526472
2023-08-01,1.0475496385809466
2023-09-01,1.0270472174928396
2023-10-01,1.0195190393550133
2023-11-01,1.018842393212601
2023-12-01,1.019977537933024
