date,nuclear_pct
2025-09-01,26.101885507165267
2025-10-01,33.42802985405176
2025-11-01,30.760043307021295
2025-12-01,29.332484461089344
2026-01-01,29.16261339860526
2026-02-01,29.546387685929627
2026-03-01,26.852988501441892
2026-04-01,33.14961624919897
2026-05-01,30.002004445773174
2026-06-01,25.888887036253866
2026-07-01,23.532985101452024
2026-08-01,23.90473863423876
2026-09-01,25.676611710626567
2026-10-01,32.725885996724
2026-11-01,30.19745255146796
2026-12-01,29.093660117674652
2027-01-01,28.895327250920495
2027-02-01,28.914940440167165
2027-03-01,26.047725999927675
2027-04-01,32.33071849176027
2027-05-01,29.248898151265568
2027-06-01,25.137057240606346
2027-07-01,23.19638695242359
2027-08-01,23.419250413349406
2027-09-01,24.908613634099492
2027-10-01,31.887150884429648
2027-11-01,29.37502310779131
2027-12-01,28.331600264448614
2028-01-01,28.207032700109778
2028-02-01,28.09850302388434
2028-03-01,25.289683475854023
2028-04-01,31.49879066168938
2028-05-01,28.44655827913374
2028-06-01,24.374051209968066
2028-07-01,22.55127832931027
2028-08-01,22.66291840336881
2028-09-01,24.14068788701923
2028-10-01,31.04184399147823
2028-11-01,28.542259170872995
2028-12-01,27.50050832378076
2029-01-01,27.370151478698773
2029-02-01,27.272570470636143
2029-03-01,24.51803676482854
2029-04-01,30.650966780580085
2029-05-01,27.632240536989904
2029-06-01,23.6041522589402
2029-07-01,21.784253110660064
2029-08-01,21.89892266892639
2029-09-01,23.362718168637265
2029-10-01,30.1800908548379
2029-11-01,27.696099484238395
2029-12-01,26.657006484778616
2030-01-01,26.52108334350415
2030-02-01,26.434160292775005
2030-03-01,23.73686296402586
2030-04-01,29.787485046031293
2030-05-01,26.804834090190255
2030-06-01,22.824671978856024
2030-07-01,21.0102951504866
2030-08-01,21.127443322331946
2030-09-01,22.57576315294688
2030-10-01,29.30259526952784
2030-11-01,26.83660375774057
2030-12-01,25.801256668609756
2031-01-01,25.659902346832215
2031-02-01,25.583469522204066
2031-03-01,22.9455392120137
2031-04-01,28.907796845106574
2031-05-01,25.964143913516395
2031-06-01,22.03598582293416
2031-07-01,20.22927591199569
2031-08-01,20.34863639949462
2031-09-01,21.779747945133913
2031-10-01,28.408874976906663
2031-11-01,25.963605842991978
2031-12-01,24.933195598513215
2032-01-01,24.78660149473675
2032-02-01,24.720445958435675
2032-03-01,22.14421318031666
2032-04-01,28.011665292297234
2032-05-01,25.110096668741257
2032-06-01,21.238226779949603
2032-07-01,19.441602510589938
2032-08-01,19.562851808894962
2032-09-01,20.9749479376452
2032-10-01,27.498831001270794
2032-11-01,25.07719746515583
2032-12-01,24.053022085387497
2033-01-01,23.901422596974534
2033-02-01,23.845305203376327
2033-03-01,21.33314230022068
2033-04-01,27.099052684291884
2033-05-01,24.24283519683091
2033-06-01,20.431780427020314
2033-07-01,18.647833023410502
2033-08-01,18.770636341053798
2033-09-01,20.161821936399257
2033-10-01,26.5725794041288
2033-11-01,24.177701357623622
2033-12-01,23.161167910275328
2034-01-01,23.00484780775636
2034-02-01,22.958497162173206
2034-03-01,20.51281313349258
2034-04-01,26.17017878157516
2034-05-01,23.36274386003726
2034-06-01,19.61724805635873
2034-07-01,17.84875290258158
2034-08-01,17.972758924665353
2034-09-01,19.341063454242477
2034-10-01,25.63051706889445
2034-11-01,23.26571272149063
2034-12-01,22.258337115078472
2035-01-01,22.09763565487944
2035-02-01,22.060745707384495
2035-03-01,19.683955703687992
2035-04-01,25.225556249145185
2035-05-01,22.47048202241791
2035-06-01,18.79547953717514
2035-07-01,17.04538746794603
2035-08-01,17.1702304415406
2035-09-01,18.51362068277347
2035-10-01,24.67335521269262
2035-11-01,22.342129655119052
2035-12-01,21.345533676623557
2036-01-01,21.180848324420833
2036-02-01,21.15307593680936
2036-03-01,18.8475693027288
2036-04-01,24.266027529786786
2036-05-01,21.5670140995354
2036-06-01,17.967593616138032
2036-07-01,16.239018710276877
2036-08-01,16.364320128624314
2036-09-01,17.68071675262035
2036-10-01,23.702154302737
2036-11-01,21.408181157260525
2036-12-01,20.42408624065654
2037-01-01,20.25587525585921
2037-02-01,20.236838424577037
2037-03-01,18.004942402027844
2037-04-01,23.292797672704264
2037-05-01,20.6536356483524
2037-06-01,17.134994795649238
2037-07-01,15.431195581120344
2037-08-01,15.556566525733118
2037-09-01,16.843864179342162
2037-10-01,22.718353446579926
2037-11-01,20.465449247661088
2037-12-01,19.495666491754154
2038-01-01,19.32445008566406
2038-02-01,19.313726933703112
2038-03-01,17.157666967743317
2038-04-01,22.307461292054406
2038-05-01,19.731993237804694
2038-06-01,16.299383586231162
2038-07-01,14.623737375529968
2038-08-01,14.748781391147961
2038-09-01,16.00487229698631
2038-10-01,21.723792481094055
2038-11-01,19.515883172887005
2038-12-01,18.56229921339025
